country,city,university,program,level,duration_years,tuition_usd,living_cost_index,rent_usd,visa_fee_usd,insurance_usd,exchange_rate,total_cost,rank,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index,no_of_indian_students,percentage,rank_2025,academic_reputation_score,academic_reputation_rank,employer_reputation_score,employer_reputation_rank,faculty_student_score,faculty_student_rank,citations_per_faculty_score,citations_per_faculty_rank,international_faculty_score,international_faculty_rank,international_students_score,international_students_rank,international_research_network_score,international_research_network_rank,employment_outcomes_score,employment_outcomes_rank,sustainability_score,sustainability_rank,overall_score
Australia,Gold Coast,Griffith University,Information Technology,Bachelor,3.0,31200,67.5,1100,450,650,1.52,98000.0,10.0,70.2,33.4,52.5,77.3,62.5,127.4,66886.0,14.9701094680582,255,27.0,324,13.7,593,8.4,701+,62.5,187,99.8,90,38.5,363,92.1,135,17.9,602,96.4,40,40.1
Australia,Hobart,University of Tasmania,Data Science,Master,2.0,30800,65.4,950,450,650,1.52,64600.0,10.0,70.2,33.4,52.5,77.3,62.5,127.4,66886.0,14.9701094680582,293,16.0,552,7.4,601+,22.1,635,59.8,203,79.9,240,89.7,123,80.0,323,15.9,636,85.6,123,37
Australia,Wollongong,University of Wollongong,Artificial Intelligence,Master,2.0,32900,67.2,1050,450,650,1.52,69000.0,10.0,70.2,33.4,52.5,77.3,62.5,127.4,66886.0,14.9701094680582,167,29.5,300,24.5,393,17.0,701+,94.6,52,91.8,178,56.3,265,89.0,185,18.3,596,93.9,62=,50.3
Australia,Townsville,James Cook University,Data Analytics,Master,2.0,31200,65.8,950,450,650,1.52,65400.0,10.0,70.2,33.4,52.5,77.3,62.5,127.4,66886.0,14.9701094680582,445,14.4,601+,6.5,601+,17.5,701+,46.9,292,36.7,434,16.0,607,76.0,389,6.7,701+,88.9,103=,26.7
Australia,Melbourne,Monash University,Computer Science,Bachelor,3.0,39800,72.8,1700,450,650,1.52,125600.0,10.0,70.2,33.4,52.5,77.3,62.5,127.4,66886.0,14.9701094680582,37,89.2,47,79.6,78,9.4,701+,87.6,84,100.0,59,100.0,24,94.8,81,79.4,126,98.2,23,81.2
Australia,Melbourne,Monash University,Computer Science,Master,2.0,42800,72.8,1700,450,650,1.52,90100.0,10.0,70.2,33.4,52.5,77.3,62.5,127.4,66886.0,14.9701094680582,37,89.2,47,79.6,78,9.4,701+,87.6,84,100.0,59,100.0,24,94.8,81,79.4,126,98.2,23,81.2
Australia,Melbourne,Monash University,Computer Science,PhD,4.0,32800,72.8,1700,450,650,1.52,139100.0,10.0,70.2,33.4,52.5,77.3,62.5,127.4,66886.0,14.9701094680582,37,89.2,47,79.6,78,9.4,701+,87.6,84,100.0,59,100.0,24,94.8,81,79.4,126,98.2,23,81.2
Australia,Sydney,University of Technology Sydney,Computer Science,Bachelor,3.0,37800,74.5,1800,450,650,1.52,119900.0,10.0,70.2,33.4,52.5,77.3,62.5,127.4,66886.0,14.9701094680582,88,43.9,194,55.0,153,9.8,701+,97.7,39,96.6,133,86.0,145,91.4,150,40.2,318,96.3,43,62.4
Australia,Sydney,University of Technology Sydney,Computer Science,Master,2.0,40800,74.5,1800,450,650,1.52,86300.0,10.0,70.2,33.4,52.5,77.3,62.5,127.4,66886.0,14.9701094680582,88,43.9,194,55.0,153,9.8,701+,97.7,39,96.6,133,86.0,145,91.4,150,40.2,318,96.3,43,62.4
Australia,Sydney,University of Technology Sydney,Computer Science,PhD,4.0,30800,74.5,1800,450,650,1.52,131500.0,10.0,70.2,33.4,52.5,77.3,62.5,127.4,66886.0,14.9701094680582,88,43.9,194,55.0,153,9.8,701+,97.7,39,96.6,133,86.0,145,91.4,150,40.2,318,96.3,43,62.4
Australia,Melbourne,RMIT University,Computer Science,Bachelor,3.0,37200,72.8,1600,450,650,1.52,117500.0,10.0,70.2,33.4,52.5,77.3,62.5,127.4,66886.0,14.9701094680582,123,40.4,210,48.0,192,5.2,701+,77.7,122,100.0,45,91.4,116,83.2,276,38.4,334,93.9,62=,55.5
Australia,Melbourne,RMIT University,Computer Science,Master,2.0,40200,72.8,1600,450,650,1.52,84700.0,10.0,70.2,33.4,52.5,77.3,62.5,127.4,66886.0,14.9701094680582,123,40.4,210,48.0,192,5.2,701+,77.7,122,100.0,45,91.4,116,83.2,276,38.4,334,93.9,62=,55.5
Australia,Melbourne,RMIT University,Computer Science,PhD,4.0,30200,72.8,1600,450,650,1.52,128300.0,10.0,70.2,33.4,52.5,77.3,62.5,127.4,66886.0,14.9701094680582,123,40.4,210,48.0,192,5.2,701+,77.7,122,100.0,45,91.4,116,83.2,276,38.4,334,93.9,62=,55.5
Australia,Wollongong,University of Wollongong,Computer Science,Bachelor,3.0,36800,65.8,1300,450,650,1.52,115400.0,10.0,70.2,33.4,52.5,77.3,62.5,127.4,66886.0,14.9701094680582,167,29.5,300,24.5,393,17.0,701+,94.6,52,91.8,178,56.3,265,89.0,185,18.3,596,93.9,62=,50.3
Australia,Wollongong,University of Wollongong,Computer Science,Master,2.0,39800,65.8,1300,450,650,1.52,83300.0,10.0,70.2,33.4,52.5,77.3,62.5,127.4,66886.0,14.9701094680582,167,29.5,300,24.5,393,17.0,701+,94.6,52,91.8,178,56.3,265,89.0,185,18.3,596,93.9,62=,50.3
Australia,Wollongong,University of Wollongong,Computer Science,PhD,4.0,29800,65.8,1300,450,650,1.52,125500.0,10.0,70.2,33.4,52.5,77.3,62.5,127.4,66886.0,14.9701094680582,167,29.5,300,24.5,393,17.0,701+,94.6,52,91.8,178,56.3,265,89.0,185,18.3,596,93.9,62=,50.3
Australia,Hobart,University of Tasmania,Computer Science,Bachelor,3.0,35800,64.5,1200,450,650,1.52,112100.0,10.0,70.2,33.4,52.5,77.3,62.5,127.4,66886.0,14.9701094680582,293,16.0,552,7.4,601+,22.1,635,59.8,203,79.9,240,89.7,123,80.0,323,15.9,636,85.6,123,37
Australia,Hobart,University of Tasmania,Computer Science,Master,2.0,38800,64.5,1200,450,650,1.52,81100.0,10.0,70.2,33.4,52.5,77.3,62.5,127.4,66886.0,14.9701094680582,293,16.0,552,7.4,601+,22.1,635,59.8,203,79.9,240,89.7,123,80.0,323,15.9,636,85.6,123,37
Australia,Hobart,University of Tasmania,Computer Science,PhD,4.0,28800,64.5,1200,450,650,1.52,121100.0,10.0,70.2,33.4,52.5,77.3,62.5,127.4,66886.0,14.9701094680582,293,16.0,552,7.4,601+,22.1,635,59.8,203,79.9,240,89.7,123,80.0,323,15.9,636,85.6,123,37
